"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 25 01:39:48 GMT 2024","Fri Oct 25 01:39:48 GMT 2024","397","tests","test_user","TestUser","","","test_create_users_with_array",""
"passed","Fri Oct 25 01:39:43 GMT 2024","Fri Oct 25 01:39:44 GMT 2024","1441","tests","test_pet","TestPet","","","test_add_pet",""
"passed","Fri Oct 25 01:39:45 GMT 2024","Fri Oct 25 01:39:46 GMT 2024","387","tests","test_pet","TestPet","","","test_find_pets_by_status",""
"passed","Fri Oct 25 01:39:46 GMT 2024","Fri Oct 25 01:39:47 GMT 2024","390","tests","test_store","TestStore","","","test_place_order",""
"passed","Fri Oct 25 01:39:48 GMT 2024","Fri Oct 25 01:39:48 GMT 2024","398","tests","test_store","TestStore","","","test_get_inventory",""
"passed","Fri Oct 25 01:39:47 GMT 2024","Fri Oct 25 01:39:47 GMT 2024","387","tests","test_store","TestStore","","","test_find_purchase_order_by_id",""
"passed","Fri Oct 25 01:39:50 GMT 2024","Fri Oct 25 01:39:50 GMT 2024","396","tests","test_user","TestUser","","","test_login_user",""
"passed","Fri Oct 25 01:39:47 GMT 2024","Fri Oct 25 01:39:48 GMT 2024","386","tests","test_store","TestStore","","","test_delete_order",""
"passed","Fri Oct 25 01:39:44 GMT 2024","Fri Oct 25 01:39:45 GMT 2024","387","tests","test_pet","TestPet","","","test_get_pet_by_id",""
"passed","Fri Oct 25 01:39:49 GMT 2024","Fri Oct 25 01:39:49 GMT 2024","397","tests","test_user","TestUser","","","test_get_user_by_username",""
"passed","Fri Oct 25 01:39:50 GMT 2024","Fri Oct 25 01:39:51 GMT 2024","396","tests","test_user","TestUser","","","test_logout_user",""
"passed","Fri Oct 25 01:39:51 GMT 2024","Fri Oct 25 01:39:51 GMT 2024","388","tests","test_user","TestUser","","","test_create_user",""
"passed","Fri Oct 25 01:39:49 GMT 2024","Fri Oct 25 01:39:50 GMT 2024","397","tests","test_user","TestUser","","","test_update_user",""
"passed","Fri Oct 25 01:39:48 GMT 2024","Fri Oct 25 01:39:49 GMT 2024","387","tests","test_user","TestUser","","","test_create_users_with_list",""
"passed","Fri Oct 25 01:39:45 GMT 2024","Fri Oct 25 01:39:45 GMT 2024","385","tests","test_pet","TestPet","","","test_delete_pet",""
"passed","Fri Oct 25 01:39:46 GMT 2024","Fri Oct 25 01:39:46 GMT 2024","400","tests","test_pet","TestPet","","","test_upload_image",""
"passed","Fri Oct 25 01:39:44 GMT 2024","Fri Oct 25 01:39:44 GMT 2024","400","tests","test_pet","TestPet","","","test_update_pet",""
"passed","Fri Oct 25 01:39:50 GMT 2024","Fri Oct 25 01:39:50 GMT 2024","387","tests","test_user","TestUser","","","test_delete_user",""
"passed","Fri Oct 25 01:39:46 GMT 2024","Fri Oct 25 01:39:46 GMT 2024","394","tests","test_pet","TestPet","","","test_find_pets_by_tags",""
